school name,province,district,address,contact number,email,principal name
Hoërskool Wonderboom,Gauteng,Pretoria North,123 Wonder Street Wonderboom,012-379-4455,info@wonderboom.co.za,Dr. A. Smith
Menlopark High School,Gauteng,Pretoria East,456 Menlo Drive Menlopark,012-348-1200,admin@menlopark.edu.za,Mrs. B. Johnson
Brooklyn High School,Gauteng,Pretoria East,789 Brooklyn Avenue,012-362-5500,office@brooklyn.edu.za,Mr. C. Williams
Pretoria High School for Girls,Gauteng,Pretoria Central,321 Arcadia Street,012-322-6855,reception@phsg.co.za,Ms. D. Brown
Cornwall Hill College,Gauteng,Centurion,654 Cornwall Road Irene,012-673-2840,info@cornwallhill.co.za,Prof. E. Davis
St. Alban's College,Gauteng,Pretoria East,987 St Albans Road,012-433-2200,admin@stalbans.co.za,Rev. F. Wilson
King Edward VII School,KwaZulu-Natal,Johannesburg South,111 King Edward Avenue,011-433-1227,office@kes.co.za,Dr. G. Miller
Parktown High School for Girls,Gauteng,Johannesburg North,222 Parktown Ridge,011-717-1700,admin@phsg.co.za,Mrs. H. Taylor
Durban High School,KwaZulu-Natal,Durban Central,333 Durban Road,031-201-8821,info@dhs.co.za,Mr. I. Anderson
Rondebosch Boys' High School,Western Cape,Cape Town South,444 Rondebosch Main Road,021-659-1051,office@rbhs.co.za,Dr. J. Thomas
